NO_TONES,DEV,DEV_TYPE,DEV_LOC,ISI,FREQ,FREQ_TYPE,FREQ_LOC,RUN_NO
7,151,early,4,700,1238,lower,5,1
7,253,late,4,700,1277,lower,6,1
7,49,late,5,700,1238,lower,6,1
7,281,early,6,700,1238,higher,4,1
7,32,early,4,700,1200,higher,6,1
7,13,early,6,700,1317,lower,4,1
7,98,late,4,700,1200,lower,6,1
7,45,early,4,700,1317,lower,5,1
7,90,early,4,700,1238,lower,5,1
7,26,early,4,700,1317,lower,5,1
7,29,late,4,700,1317,lower,5,1
7,11,late,4,700,1358,lower,6,1
7,25,early,6,700,1238,higher,5,1
7,16,late,4,700,1200,higher,6,1
7,195,early,4,700,1200,lower,6,1
7,53,early,5,700,0,standard,0,1
7,107,late,6,700,1358,higher,5,1
7,32,late,5,700,1317,lower,6,1
7,58,late,6,700,1277,lower,5,1
7,69,late,6,700,1238,lower,4,1
7,29,late,4,700,1200,higher,5,1
7,27,late,4,700,1317,higher,5,1
7,45,early,5,700,1277,higher,4,1
7,10,late,6,700,1277,higher,5,1
7,29,late,6,700,1277,higher,5,1
7,63,early,4,700,1317,higher,6,1
7,162,late,6,700,1238,higher,5,1
7,6,late,4,700,1358,lower,6,1
7,15,late,5,700,0,standard,0,1
7,2,late,5,700,1277,higher,4,1
7,107,late,5,700,1238,lower,6,1
7,6,early,5,700,1317,lower,6,1
7,49,late,5,700,1358,higher,4,1
7,4,early,4,700,1200,higher,6,1
7,15,early,5,700,1358,lower,4,1
7,116,early,6,700,1277,higher,4,1
7,148,early,4,700,1277,higher,5,1
7,27,late,5,700,1317,higher,6,1
7,17,early,5,700,1200,higher,6,1
7,138,late,5,700,1238,lower,4,1
7,41,late,6,700,1317,lower,4,1
7,45,early,6,700,1277,higher,4,1
7,35,late,4,700,1358,lower,6,1
7,58,early,6,700,1200,higher,5,1
7,41,late,6,700,1277,higher,4,1
7,104,late,6,700,1277,higher,5,1
7,69,late,4,700,1358,lower,5,1
7,11,late,6,700,1358,higher,5,1
7,138,early,4,700,1277,higher,5,1
7,75,early,4,700,1317,lower,5,1
7,92,early,5,700,1238,lower,6,1
7,90,early,6,700,1317,higher,5,1
7,4,early,4,700,1238,lower,5,1
